id_produto,nome_produto,categoria,categoria_produtos,preco_com_desconto,quartil_preco_com_desconto,preco_atual,quartil_preco_atual,porcentagem_desconto,quartil_porcent_desconto,valor_desconto,quartil_valor_desconto,descricao_produto
B00LXTFMRS,PIDILITE Fevicryl Acrylic Colours Sunflower Kit 10 Colors x 15 ml DIY Paint Rich Pigment NonCraking Paint for Canvas Wood Leather Earthenware Metal Diwali Gifts for Diwali,HomeKitchenCraftMaterialsPaintingMaterialsPaints,casa e cozinha,191,1,225,1,"0,15",1,34,1,Vibrant Colours  Make paintings pop out using the 10 vibrant shades The Sunflower Acrylic Kit has acrylic colours for creating art and tones that bring out the artistic mood It lets artists give depth and dimension to their creationsMultisurface Use  The Fevicryl Acrylic Sunflower Kit comprises of vibrant painting colours and refined shades that work across a wide variety of mediums Apply these paints to various surfaces like wood canvas leather terracotta and even fabricsNonToxic and Safe The colouring kit is safe for use by young artists The paints are made using nontoxic substances and pose no health risk The cleanup is also very easy after youre done creating art projectsVery BeginnerFriendly  No need to be an expert artist to use this Grab a piece of cloth or paper set up your colouring palette and get ready to have a fun time
B01DJJVFPC,Duracell Ultra Alkaline AAA Battery 8 Pcs,ElectronicsGeneralPurposeBatteriesBatteryChargersDisposableBatteries,eletrônicos,269,1,315,1,"0,15",1,46,1,Lasts up to 100 longer Longevity performance compared to the Minimum Average Duration of the 2015 IEC AAA Motorized Toy test Results may vary by device or usage patternOur best battery suited for everyday devices with extra performance for high drain devicesDuralock technology keeps unused Duracell batteries fresh and powered for up to 10 years in ambient storageAvailable in AAA AA C D and 9V sizesSuperior Nylon top closure helps preventing our batteries from leakage
B00LZPQVMK,Parker Vector Standard Chrome Trim Ball Pen Ink  Black,OfficeProductsOfficePaperProductsPaperStationeryPensPencilsWritingSuppliesPensRefillsStickBallpointPens,produtos de escritório,272,1,320,1,"0,15",1,48,1,A solid plastic body of the glossy black design a contrasting stainlesssteel clip and a molded plastic barrelParker Vector Standard Chrome Trim Ball Pen features a push mechanism closer and closes with a satisfying clickQuinkflow technology for a smoother cleaner  more consistent writing performance in a word the greatest Parker ballpoint everPractical body shape is easy to hold for a comfortable writing experience2 years of warrenty against manufacturing defects
B07MP21WJD,Lint Roller with 40 Paper Sheets 22 x 5 cm Grey,HomeKitchenKitchenHomeAppliancesVacuumCleaningIroningIronsSteamersAccessoriesLintShavers,casa e cozinha,245,1,299,1,"0,18",1,54,1,This product will be an excellent pick for youThis product comes in a proper packagingIt ensures you get the best usage for a longer periodIt is made up of premium quality material
B0116MIKKC,Goldmedal Curve Plus 202042 Plastic Spice 3Pin 240V Universal Travel Adaptor White,ElectronicsMobilesAccessoriesMobileAccessoriesChargersWallChargers,eletrônicos,99,1,171,1,"0,42",2,72,1,LED indicatorTrendy two coloursCompatible with worldwide plugsErgonomic product design
B08Y5QJTVK,Duracell CR2025 3V Lithium Coin Battery 5 pcs 2025 Coin Button Cell Battery DL2025,ElectronicsGeneralPurposeBatteriesBatteryChargers,eletrônicos,116,1,200,1,"0,42",2,84,1,Duracell 2025 lithium coin batteries are suitable for use in keyfobs small remotes scales wearables sensors medical devices glucometers digital thermometers sports devices heart rate monitor bike accessoriesDuracell 2025 lithium coin batteries use highpurity lithiumDuracell lithium coin batteries are available in 2016 2025 2032Guarantee for 10 years in storage
B08Y57TPDM,Duracell CR2016 3V Lithium Coin Battery 5 pcs 2016 Coin Button Cell Battery DL2016,ElectronicsGeneralPurposeBatteriesBatteryChargers,eletrônicos,116,1,200,1,"0,42",2,84,1,Duracell 2016 lithium coin batteries are suitable for use in keyfobs small remotes scales wearables sensors medical devices glucometers digital thermometers sports devices heart rate monitor bike accessoriesDuracell 2016 lithium coin batteries use highpurity lithiumDuracell lithium coin batteries are available in 2016 2025 2032Guarantee for 10 years in storage
B003L62T7W,Logitech B100 Wired USB Mouse 3 yr Warranty 800 DPI Optical Tracking Ambidextrous PCMacLaptop  Black,ComputersAccessoriesAccessoriesPeripheralsKeyboardsMiceInputDevicesMice,acessórios de computador,279,1,375,1,"0,26",1,96,1,A comfortable ambidextrous shape feels good in either hand so you feel more comfortable as you workeven at the end of the dayWith 800 dpi sensitivity youll get precise cursor control so you can edit documents and navigate the Web more efficientlySidetoside scrolling plus zoom lets you instantly zoom in or out and scroll horizontally and vertically Perfect for working with spreadsheets and presentationsZero setup with flexible connectivity means you just plug it into your USB or PS2 portit works right out of the boxThis mouse is built by Logitechthe mouse experts It comes with the quality and design weve built into more than a billion mice more than any other manufacturer
B07L9FW9GF,Zebronics ZebPower Wired USB Mouse 3Button 1200 DPI Optical Sensor Plug  Play for WindowsMac,ComputersAccessoriesAccessoriesPeripheralsKeyboardsMiceInputDevicesMice,acessórios de computador,149,1,249,1,"0,4",2,100,1,If youre looking at compact and stylish design look no further with the Zebronics Power mouseIt has an advanced optical sensor technology that gives you high precisionIt comes with an easy to install mechanism where you can just plug and playCompact and stylish design Advanced optical sensor technology with Resolution 1200dpiWarranty  1 year from the date of purchase
B094JNXNPV,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 21 A Speed  125 meter Black,ComputersAccessoriesAccessoriesPeripheralsCablesAccessoriesCablesUSBCables,acessórios de computador,299,1,399,1,"0,25",1,100,1,Blazing Charging  All combined 3 in 1 cable supports fast charging with the speed 21A to all your gadgets including mobiles tablets speakers and much moreUltra Durable  The cable is crafted with braided wire giving you an extra tough braided cable with 10000 bends lifespan cycleUniversal Compatibility  The 3 in 1 cable gives you universal compatibility with its flexible and highquality material that comes with a USB type C connector micro USB connector and lightning connectorConvenient Length  The durable and flexible cable comes with an ideal length of 125 meter which eliminates the struggle of finding nearby switch boards180 days manufacturer warranty from the date of purchase
